rainfall_mm,temperature_c,humidity_percent,soil_ph,nitrogen,phosphorus,potassium,sunlight_hours,area_hectares,crop_type,yield_tonnes
974.5401188,34.2607146,79.27975767,6.697316968,52.48149124,27.79972602,33.48501673,8.464704583,2.002787529,Rice,7.47
783.4045099,24.56363364,70.99025727,6.363890037,63.29833122,50.59264474,38.36963164,6.168578594,1.415904608,Cassava,6.29
1056.069984,31.77763942,57.98695129,6.528468877,87.39316551,22.32252064,66.45269111,5.682096495,0.662628982,Sorghum,7.27
697.672114,30.2634954,67.60609975,5.74407647,79.61415281,21.71942606,84.55922412,6.035119926,2.156305711,Cassava,7.28
911.7110761,27.80102032,71.86841117,5.869708911,117.5667702,58.75664117,86.36993649,8.579309402,1.994749947,Cassava,9.14
871.3490318,32.43106264,64.27013307,6.061869019,83.41568665,27.04621125,78.13181885,5.298202575,2.967217342,Sorghum,6.1
1372.244769,22.98073522,50.22088468,7.130922857,96.54858751,56.4503584,76.2762208,5.296178607,1.396164321,Cassava,7.53
663.5583503,24.66473483,63.00733288,6.959212357,91.00459771,64.36063713,58.33289551,5.478376984,2.283111968,Rice,7.35
1360.785049,28.41915796,80.8386872,6.487591193,81.81862635,41.37705092,31.5251476,5.431565708,0.578572964,Rice,7.18
1108.570691,33.61349711,59.97168917,6.320765846,100.4440911,31.43990827,34.61879459,6.159005812,0.903053218,Rice,8.83
1529.697652,32.12180569,75.33615026,7.24292118,104.2937662,29.32850294,83.55353991,7.157368968,2.518600388,Maize,9.61
710.0519245,23.41902744,67.08431155,7.136029532,108.8584467,20.34760653,60.64483815,6.669644013,1.055269526,Maize,8.36
719.8653673,25.06422757,87.71638816,6.146405864,81.50324974,55.15094794,51.81777614,8.887128331,2.906118237,Rice,8.32
900.8783098,24.27260742,51.47547789,6.719128668,80.21432186,22.57393756,46.71878785,8.633063544,1.098904727,Cassava,7.69
744.8948721,27.3417914,89.42601816,5.984110543,93.77084379,58.08098077,44.25825264,7.912865394,1.419457832,Maize,8.96
1135.774684,21.35434655,83.41209982,6.14156013,54.92148083,22.03875708,65.45357659,7.710257447,0.541469572,Rice,8.47
1112.093058,23.39743663,75.80691162,5.848732858,95.27501905,39.33676732,86.20379932,5.550083777,1.352665878,Wheat,7.68
1259.984046,32.258333,72.20803246,6.559301157,59.34818327,24.65513839,83.83294548,8.601672229,2.082753643,Wheat,8.88
